Country Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Switzerland,3276,3082,4056,4017,4138,3611,3899,4645,4239,3498,3494,3147,2800,2764,2883,3270,3504,3485,3329,3525,4098,4056,4115,4974,4592,5033,4613,4770
UK,34304,33499,38944,42074,40775,34086,34494,34248,34491,35675,36866,36453,35255,35332,39660,46943,53970,55152,57483,65986,65619,57915,58083,60270,58496,56862,59183,55460
Bahrain,207,218,239,263,279,279,285,303,322,322,330,364,359,372,444,516,532,513,574,643,720,828,843,1034,1182,1348,1475,1430
Egypt,4454,3516,2261,1346,1416,1526,1714,1949,2116,2268,2372,2448,2628,2834,2903,2384,2370,2659,2953,3307,3780,4017,4407,4464,4558,4360,5085,5477
Iran,18889,16302,16474,17550,19733,1448,1703,2502,3551,4642,5479,6650,8327,10379,3244,3717,5244,6797,8751,9331,11082,12585,13561,14278,16494,11997,9901,10265
Iraq,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,614,1120,1236,1942,2873,2968,3581,5905,6055,7896,9516,13121
Israel,7499,6064,7234,10463,8202,8743,8675,8856,9523,9639,9103,8607,9366,9529,9999,10722,11020,10817,11443,11995,14095,13979,14559,15373,14742,16874,18106,16101
Jordan,588,383,322,433,368,391,408,300,417,444,496,512,529,529,522,612,587,604,702,1032,1358,1568,1558,1595,1473,1445,1550,1616
Kuwait,1704,2076,8962,12924,6316,2980,3296,3692,3241,2454,2282,2286,2697,2686,2822,3131,3450,3509,3598,4116,4430,4209,4335,5394,5942,5698,5942,. .
Lebanon,39.3,. .,214,229,443,453,637,746,736,678,694,830,930,959,907,923,955,963,1009,1152,1169,1426,1585,1627,1757,1936,2270,2239
Oman,1532,1562,1931,1673,2023,1920,2027,2018,1916,1976,1758,1787,2103,2427,2491,2626,2974,3652,4030,4326,4617,4490,4895,6668,12334,11688,10951,9883
Qatar,983,848,791,896,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,761,785,772,888,1066,1562,2317.5,1948,1877,. .,. .,. .,. .,. .
Saudi Arabia,13355,12750,16355,16355,15360,16451,14280,13200,13340,18127,20862,18320,19964,21027,18502,18747,20910,25392,29581,35470,38223,41267,45245,48531,56498,67020,80762,87186
Syria,3723,1484,1642,2894,2977,1426,1636,958,995,1047,1096,1128,897,1023,1103,1436,1389,1450,1435,1599,1732,2182,2346,2495,. .,. .,. .,. .
Turkey,2664,3374,5315,5671,6158,7075,5293,6606,7512,7792,8781,9952,9994,7216,9050,10278,10921,12081,13363,15319,17127,16352,17939,17305,17958,18615,17770,15275
UAE,. .,. .,. .,. .,. .,. .,. .,. .,. .,3336,4010,4233,5876,5798,5354,5835,6817,6604,7165,8461,11572,13836,17505,19182,19024,23561,22755,. .
Yemen,xxx,xxx,807,1028,1307,1535,2353,806,416,397,385,395,474,540,737,807,735,816,822,1050,1196,1421,1448,1612,1619,1649,1715,. .
